,Unnamed: 0,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,0,priceperbedroom,0
0,0,Yarra,ABBOTSFORD,-37.80523392,144.9951794,House,Entire home/apt,1.0,1.0,125,2,0,20,50,118,97.0,moderate,1,1.41,258,125.0,208
1,1,Yarra,ABBOTSFORD,-37.8033889,144.994541,House,Entire home/apt,4.0,6.0,400,7,0,0,0,4,95.0,strict_14_with_grace_period,1,0.06,258,100.0,208
2,2,Yarra,ABBOTSFORD,-37.79828105,144.999041,House,Private room,1.0,1.0,84,2,0,0,0,16,93.0,moderate,1,0.54,258,84.0,208
3,3,Yarra,ABBOTSFORD,-37.80549048,144.99291619999997,Apartment,Private room,1.0,1.0,60,1,0,4,34,22,91.0,flexible,1,0.37,258,60.0,208
4,4,Yarra,ABBOTSFORD,-37.79907667,144.9990543,House,Private room,1.0,1.0,57,6,0,0,0,1,100.0,strict_14_with_grace_period,2,0.04,258,57.0,208
5,5,Yarra,ABBOTSFORD,-37.80977357,144.99559509999997,House,Private room,1.0,1.0,60,1,18,38,66,41,91.0,moderate,16,0.78,258,60.0,208
6,6,Yarra,ABBOTSFORD,-37.80291654,144.99327140000003,House,Entire home/apt,2.0,2.0,120,2,0,0,0,11,100.0,flexible,1,0.19,258,60.0,208
7,7,Yarra,ABBOTSFORD,-37.80626949,144.9971645,House,Entire home/apt,2.0,3.0,199,2,0,0,0,12,100.0,moderate,1,0.21,258,99.5,208
8,8,Yarra,ABBOTSFORD,-37.81265596,145.013688,Apartment,Entire home/apt,2.0,3.0,174,3,6,8,9,1,100.0,strict_14_with_grace_period,2,0.13,258,87.0,208
9,9,Yarra,ABBOTSFORD,-37.80606942,144.9928794,Apartment,Entire home/apt,2.0,2.0,109,2,2,2,2,49,92.0,flexible,1,5.1,258,54.5,208
10,11,Yarra,ABBOTSFORD,-37.80945916,145.0020821,House,Entire home/apt,2.0,2.0,120,2,0,0,0,3,80.0,flexible,1,0.06,258,60.0,208
11,12,Yarra,ABBOTSFORD,-37.79978912,144.9983958,Apartment,Entire home/apt,1.0,1.0,100,1,0,0,0,12,92.0,strict_14_with_grace_period,1,0.23,258,100.0,208
12,13,Yarra,ABBOTSFORD,-37.81015063,145.00252719999997,House,Private room,1.0,2.0,80,2,22,46,73,84,99.0,moderate,1,1.87,258,80.0,208
13,14,Yarra,ABBOTSFORD,-37.79973426,145.00049319999997,Apartment,Entire home/apt,1.0,1.0,140,7,15,17,17,28,96.0,moderate,1,0.58,258,140.0,208
14,15,Yarra,ABBOTSFORD,-37.80197661,144.99855559999997,Bed and breakfast,Private room,1.0,1.0,84,2,9,39,69,4,100.0,flexible,1,0.08,258,84.0,208
15,16,Yarra,ABBOTSFORD,-37.80331238,144.997893,House,Entire home/apt,4.0,4.0,199,5,0,0,0,3,93.0,strict_14_with_grace_period,1,0.08,258,49.75,208
16,17,Yarra,ABBOTSFORD,-37.80438159,144.996753,House,Entire home/apt,2.0,2.0,138,21,0,0,0,1,100.0,moderate,1,0.02,258,69.0,208
17,20,Yarra,ABBOTSFORD,-37.81144319,145.0149732,Apartment,Entire home/apt,2.0,3.0,251,2,14,25,55,28,99.0,moderate,2,0.63,258,125.5,208
18,21,Yarra,ABBOTSFORD,-37.79717246,144.99795480000003,Apartment,Private room,1.0,1.0,60,2,15,22,52,88,99.0,strict_14_with_grace_period,2,2.08,258,60.0,208
19,22,Yarra,ABBOTSFORD,-37.79928078,144.9981533,Apartment,Private room,1.0,1.0,82,2,25,41,71,106,97.0,strict_14_with_grace_period,2,2.25,258,82.0,208
20,23,Yarra,ABBOTSFORD,-37.80715966,144.9962068,Apartment,Private room,1.0,1.0,65,3,5,5,5,145,91.0,moderate,2,3.11,258,65.0,208
21,24,Yarra,ABBOTSFORD,-37.80541434,144.99241519999995,House,Private room,1.0,1.0,120,2,26,56,86,26,97.0,moderate,1,0.56,258,120.0,208
22,25,Yarra,ABBOTSFORD,-37.80599217,144.9986029,Loft,Entire home/apt,1.0,2.0,136,3,0,0,0,146,98.0,moderate,1,3.15,258,136.0,208
23,26,Yarra,ABBOTSFORD,-37.79876641,144.997067,Apartment,Private room,1.0,1.0,75,1,7,28,58,43,97.0,moderate,1,0.95,258,75.0,208
24,27,Yarra,ABBOTSFORD,-37.80976069,144.995279,House,Private room,1.0,1.0,30,1,0,0,0,8,90.0,moderate,16,0.82,258,30.0,208
25,28,Yarra,ABBOTSFORD,-37.80781256,144.9954601,Apartment,Private room,1.0,1.0,75,5,3,33,63,9,98.0,strict_14_with_grace_period,1,0.24,258,75.0,208
26,30,Yarra,ABBOTSFORD,-37.79679039,144.9967977,Apartment,Entire home/apt,1.0,1.0,100,3,0,0,0,34,98.0,strict_14_with_grace_period,1,0.86,258,100.0,208
27,31,Yarra,ABBOTSFORD,-37.80227272,144.998498,Apartment,Entire home/apt,1.0,2.0,91,2,0,6,13,25,98.0,strict_14_with_grace_period,1,3.97,258,91.0,208
28,32,Yarra,ABBOTSFORD,-37.8083656,144.997764,House,Private room,1.0,1.0,71,1,0,0,0,1,100.0,flexible,1,0.02,258,71.0,208
29,33,Yarra,ABBOTSFORD,-37.80814158,144.9977378,House,Private room,1.0,1.0,55,31,0,0,0,1,80.0,strict_14_with_grace_period,1,0.02,258,55.0,208
30,34,Yarra,ABBOTSFORD,-37.80834896,144.99385519999996,House,Private room,1.0,1.0,60,1,17,27,48,9,93.0,moderate,16,0.26,258,60.0,208
31,35,Yarra,ABBOTSFORD,-37.80930739,144.9933613,House,Private room,1.0,1.0,46,1,22,52,82,35,82.0,moderate,16,0.87,258,46.0,208
32,36,Yarra,ABBOTSFORD,-37.80675972,144.9943205,House,Private room,1.0,2.0,80,1,0,0,0,3,100.0,strict_14_with_grace_period,10,0.08,258,80.0,208
33,37,Yarra,ABBOTSFORD,-37.80789426,144.9934589,House,Private room,1.0,1.0,80,1,0,0,0,38,99.0,strict_14_with_grace_period,10,0.97,258,80.0,208
34,38,Yarra,ABBOTSFORD,-37.80635785,144.992641,House,Entire home/apt,3.0,7.0,307,2,0,0,0,155,97.0,strict_14_with_grace_period,10,4.1,258,102.33333333333333,208
35,39,Yarra,ABBOTSFORD,-37.80842321,144.9947247,House,Private room,1.0,1.0,80,1,0,0,0,13,97.0,strict_14_with_grace_period,10,0.33,258,80.0,208
36,40,Yarra,ABBOTSFORD,-37.79929306,144.9991785,Apartment,Entire home/apt,2.0,2.0,259,2,15,17,17,95,99.0,strict_14_with_grace_period,1,2.45,258,129.5,208
37,42,Yarra,ABBOTSFORD,-37.80343541,144.9997867,House,Private room,1.0,1.0,50,1,0,0,0,2,80.0,flexible,1,0.05,258,50.0,208
38,43,Yarra,ABBOTSFORD,-37.80313964,144.9991139,House,Private room,1.0,1.0,46,1,0,0,0,1,100.0,flexible,1,0.03,258,46.0,208
39,44,Yarra,ABBOTSFORD,-37.80980253,144.9972899,House,Private room,1.0,1.0,68,2,0,0,0,28,99.0,moderate,2,0.7,258,68.0,208
40,45,Yarra,ABBOTSFORD,-37.80020183,145.0001556,Apartment,Entire home/apt,1.0,1.0,115,3,0,0,0,13,100.0,moderate,1,0.4,258,115.0,208
41,46,Yarra,ABBOTSFORD,-37.80812925,144.9934365,House,Private room,1.0,3.0,96,1,0,0,0,22,100.0,strict_14_with_grace_period,10,0.56,258,96.0,208
42,47,Yarra,ABBOTSFORD,-37.80840684,144.99264509999998,House,Private room,1.0,2.0,96,1,0,0,0,17,100.0,strict_14_with_grace_period,10,0.43,258,96.0,208
43,48,Yarra,ABBOTSFORD,-37.80635359,144.9946294,House,Private room,1.0,1.0,80,1,0,0,0,19,100.0,strict_14_with_grace_period,10,0.5,258,80.0,208
44,49,Yarra,ABBOTSFORD,-37.80704313,144.9933229,House,Private room,1.0,2.0,80,1,0,0,0,14,100.0,strict_14_with_grace_period,10,0.36,258,80.0,208
45,50,Yarra,ABBOTSFORD,-37.80851412,144.9945055,House,Private room,1.0,2.0,80,1,0,0,0,15,96.0,strict_14_with_grace_period,10,0.39,258,80.0,208
46,51,Yarra,ABBOTSFORD,-37.80874695,144.99817,House,Entire home/apt,1.0,1.0,60,21,0,0,0,3,100.0,strict_14_with_grace_period,2,0.09,258,60.0,208
47,53,Yarra,ABBOTSFORD,-37.80990151,145.00618169999996,Apartment,Private room,1.0,2.0,90,1,0,8,38,20,99.0,flexible,1,0.55,258,90.0,208
48,54,Yarra,ABBOTSFORD,-37.80750448,144.9956082,House,Entire home/apt,1.0,1.0,90,3,0,0,0,1,80.0,moderate,1,0.04,258,90.0,208
49,56,Yarra,ABBOTSFORD,-37.80514909,144.9970118,House,Entire home/apt,2.0,2.0,239,3,16,23,23,7,100.0,moderate,1,0.2,258,119.5,208
50,57,Yarra,ABBOTSFORD,-37.79983471,145.0017672,Apartment,Entire home/apt,1.0,1.0,120,7,0,1,1,18,99.0,moderate,1,0.51,258,120.0,208
51,58,Yarra,ABBOTSFORD,-37.80940605,144.99406059999995,House,Private room,1.0,1.0,54,6,0,0,0,4,100.0,strict_14_with_grace_period,1,0.16,258,54.0,208
52,59,Yarra,ABBOTSFORD,-37.80739245,144.99882769999996,House,Private room,1.0,1.0,50,3,0,0,0,3,100.0,flexible,1,0.08,258,50.0,208
53,60,Yarra,ABBOTSFORD,-37.80995131,145.00603619999995,Apartment,Entire home/apt,2.0,3.0,89,1,3,7,37,224,91.0,strict_14_with_grace_period,33,6.39,258,44.5,208
54,61,Yarra,ABBOTSFORD,-37.80652109,144.996816,Townhouse,Entire home/apt,2.0,2.0,120,3,0,0,0,3,100.0,flexible,1,0.09,258,60.0,208
