,suburb,avgpricepersuburb,count,max_priceperbedroom,min_priceperbedroom
0,ABBOTSFORD,85.77884615000015,208,400.0,20.33333333
1,ABERFELDIE,62.333333329999995,3,75.0,37.0
2,AIRPORT WEST,63.99122807000001,19,148.0,30.0
3,ALBERT PARK,121.94811320000007,53,295.0,50.0
4,ALBION,30.0,2,30.0,30.0
5,ALPHINGTON,69.99462365999995,31,136.0,39.0
6,ALTONA,64.83653845999999,26,150.0,24.0
7,ALTONA MEADOWS,52.35606060999999,11,116.66666670000001,6.0
8,ALTONA NORTH,55.833333329999995,14,79.66666667,46.0
9,ARMADALE,84.84929078000003,47,170.0,30.0
10,ARMADALE NORTH,140.0,1,140.0,140.0
11,ASCOT VALE,65.22727273000007,55,180.0,19.0
12,ASHBURTON,54.791666670000005,12,71.0,40.0
13,ASHWOOD,67.75,7,100.0,37.5
14,ASPENDALE,126.39583330000004,12,277.0,37.5
15,ATTWOOD,56.2,1,56.2,56.2
16,AVONDALE HEIGHTS,28.0,3,30.0,25.0
17,BADGER CREEK,150.0,16,270.0,59.0
18,BALACLAVA,105.12938599999984,76,999.0,30.0
19,BALWYN,58.902380949999966,35,132.0,14.0
20,BALWYN NORTH,60.089506170000035,27,115.0,24.0
21,BANGHOLME,750.0,1,750.0,750.0
22,BAYLES,32.5,1,32.5,32.5
23,BAYSWATER,54.683333329999996,10,105.33333329999999,16.5
24,BAYSWATER NORTH,34.5,3,46.0,17.5
25,BEACONSFIELD,49.83333333,2,58.0,41.66666667
26,BEACONSFIELD UPPER,192.25,2,300.0,84.5
27,BEAUMARIS,92.66025641000002,13,148.75,62.75
28,BELGRAVE,102.51041669999996,16,249.0,28.0
29,BELGRAVE HEIGHTS,117.5,4,210.0,45.0
30,BENTLEIGH,57.410493829999965,27,112.5,19.0
31,BENTLEIGH EAST,61.138888890000025,27,100.0,15.0
32,BERWICK,62.125,24,251.0,18.5
33,BIG PATS CREEK,47.5,1,47.5,47.5
34,BLACK ROCK,94.89393939,11,180.0,60.0
35,BLACKBURN,52.28010752999996,31,125.0,15.33333333
36,BLACKBURN NORTH,49.64285714,7,66.33333333,37.5
37,BLACKBURN SOUTH,44.0625,8,65.0,24.0
38,BONBEACH,62.6372549,17,98.33333333,18.0
39,BORONIA,52.63888888999998,12,96.0,16.66666667
40,BOX HILL,75.29918032999998,122,155.0,25.0
41,BOX HILL NORTH,54.05631313000003,66,145.0,18.33333333
42,BOX HILL SOUTH,51.72916667000002,24,91.0,11.66666667
43,BRAYBROOK,48.411111109999986,15,100.0,27.25
44,BRIAR HILL,98.0,1,98.0,98.0
45,BRIGHTON,101.92469880000019,83,287.5,20.0
46,BRIGHTON EAST,68.66369048,28,212.5,21.0
47,BROADMEADOWS,36.780303030000006,11,75.0,8.333333332999999
48,BROOKFIELD,79.0,1,79.0,79.0
49,BROOKLYN,50.0,2,50.0,50.0
50,BRUNSWICK,70.92325228000016,329,161.0,23.0
51,BRUNSWICK EAST,100.33169760000013,131,599.0,25.0
52,BRUNSWICK WEST,61.05555555999993,63,127.0,25.0
53,BULLA,50.81666667,2,54.8,46.83333333
54,BULLEEN,88.97058824000003,17,300.0,32.0
55,BUNDOORA,52.47817460000004,42,150.0,11.66666667
56,BUNYIP,63.33333333,1,63.33333333,63.33333333
57,BURNLEY,98.5,8,145.5,49.0
58,BURNSIDE HEIGHTS,16.0,1,16.0,16.0
59,BURWOOD,52.51282050999999,39,148.0,26.5
60,BURWOOD EAST,52.358333330000015,12,80.0,28.0
61,CAIRNLEA,48.5,4,71.0,39.0
62,CAMBERWELL,79.90625,56,362.25,20.0
63,CANTERBURY,75.34027777999998,12,161.0,46.0
64,CARDINIA,54.875,2,60.0,49.75
65,CARLTON,86.13346354000076,384,251.0,15.33333333
66,CARLTON NORTH,80.98069106000001,82,275.0,15.0
67,CARNEGIE,57.48275861999994,58,105.0,13.33333333
68,CAROLINE SPRINGS,79.83333332999999,15,249.0,30.0
69,CARRUM,48.89999999999999,10,96.0,26.0
70,CARRUM DOWNS,54.0,1,54.0,54.0
71,CAULFIELD,70.92753623,23,138.0,35.0
72,CAULFIELD EAST,72.0,6,100.0,28.0
73,CAULFIELD NORTH,76.24600938999995,71,186.0,25.0
74,CAULFIELD SOUTH,87.29166666999996,36,251.0,15.33333333
75,CHADSTONE,50.27564102999999,13,90.0,25.0
76,CHELSEA,74.56944444,6,150.0,30.0
77,CHELSEA HEIGHTS,54.88888889,3,76.0,42.0
78,CHELTENHAM,61.80921053000001,38,120.0,0.0
79,CHIRNSIDE PARK,78.35000000000001,10,99.0,60.0
80,CHRISTMAS HILLS,156.6333333,4,300.2,73.33333333
81,CHUM CREEK,139.6439394,11,250.0,80.0
82,CLARINDA,38.77777778,3,50.0,30.0
83,CLAYTON,54.317796610000045,59,170.0,8.333333332999999
84,CLAYTON SOUTH,67.11111111000001,9,105.0,25.0
85,CLEMATIS,71.0,1,71.0,71.0
86,CLIFTON HILL,87.87962963000003,54,180.0,46.0
87,CLYDE NORTH,68.875,4,92.0,25.0
88,COBURG,60.09866071000001,80,150.0,17.5
89,COBURG NORTH,48.760416670000005,16,80.0,18.0
90,COCKATOO,138.4487179,13,280.0,32.0
91,COLDSTREAM,94.4,5,164.5,57.5
92,COLLINGWOOD,99.29288702999962,239,660.0,26.0
93,CORA LYNN,180.0,1,180.0,180.0
94,COTTLES BRIDGE,94.5,2,120.0,69.0
95,CRAIGIEBURN,41.75666666999999,25,83.66666667,22.0
96,CRANBOURNE,100.0,2,150.0,50.0
97,CRANBOURNE EAST,46.464285710000006,7,62.0,34.5
98,CRANBOURNE NORTH,53.13888888999999,9,90.0,12.75
99,CRANBOURNE SOUTH,41.25,1,41.25,41.25
100,CRANBOURNE WEST,53.5,6,84.0,18.0
101,CREMORNE,96.82777777999995,30,163.33333330000002,34.5
102,CROYDON,51.72222222,9,71.0,34.5
103,CROYDON NORTH,66.70833332999999,12,114.0,20.0
104,CROYDON SOUTH,45.0,2,50.0,40.0
105,DALLAS,35.0,1,35.0,35.0
106,DANDENONG,75.34057970999997,23,114.0,15.33333333
107,DANDENONG NORTH,57.125,4,100.0,26.0
108,DANDENONG RANGES,194.0,7,245.0,145.0
109,DANDENONG SOUTH,74.16666667,2,78.33333333,70.0
110,DEER PARK,30.0,1,30.0,30.0
111,DELAHEY,30.0,1,30.0,30.0
112,DERRIMUT,46.0,3,46.0,46.0
113,DIAMOND CREEK,63.6,5,98.0,45.0
114,DIGGERS REST,128.75,6,220.0,39.5
115,DIXONS CREEK,250.8,5,280.0,199.0
116,DOCKLANDS,112.18218619999973,494,999.0,19.0
117,DON VALLEY,147.16666669999998,3,220.0,96.0
118,DONCASTER,75.51479592000013,98,201.0,0.0
119,DONCASTER EAST,73.34567900999997,27,251.0,17.5
120,DONVALE,61.3,5,84.5,43.0
121,DOREEN,47.35,5,75.0,23.66666667
122,EAGLEMONT,88.61111111000001,6,162.75,41.66666667
123,EAST DONCASTER,117.625,4,162.0,70.5
124,EAST MELBOURNE,108.91314550000023,142,316.6666667,24.0
125,EAST WARBURTON,129.86666670000002,5,300.0,37.5
126,EDEN PARK,54.5,1,54.5,54.5
127,EDITHVALE,69.34259259,9,130.0,37.5
128,ELSTERNWICK,76.70352563999997,52,199.0,25.0
